# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_retained_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
MED27	MED27	NM_001253881.2	protein_coding	0	0	0	125	0	0	0	4	0	121	0	0	0	0	0	0	0	0	0
MED27	MED27	NM_001253882.2	protein_coding	0	0	0	6	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0
MED27	MED27	NM_004269.4	protein_coding	0	0	0	125	0	0	0	4	0	121	0	0	0	0	0	0	0	0	0
MIGA2	MIGA2	NM_001329990.2	protein_coding	0	0	0	15	3	0	0	1	0	10	0	0	0	0	0	0	0	0	1
MIGA2	MIGA2	NM_032809.3	protein_coding	0	0	0	15	3	0	0	1	0	10	0	0	0	0	0	0	0	0	1
MIGA2	MIGA2	NR_138421.2		0	0	0	15	0	0	0	1	0	10	0	3	0	0	0	0	0	0	1
MIGA2	MIGA2	NR_138422.2		0	0	0	15	0	0	0	1	0	10	0	3	0	0	0	0	0	0	1
MIGA2	MIGA2	NR_138423.2		0	0	0	15	0	0	0	1	0	10	0	3	0	0	0	0	0	0	1
MIGA2	MIGA2	NR_138424.2		0	0	0	15	0	0	0	1	0	10	0	3	0	0	0	0	0	0	1
MIGA2	MIGA2	NR_138425.2		0	0	0	15	0	0	0	1	0	10	0	3	0	0	0	0	0	0	1
MIR12126	MIR12126	NR_162140.1		0	0	0	6	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
MIR1268A	MIR1268A.4	NR_031672.1.4		0	0	0	65	0	0	0	2	0	59	0	0	0	0	0	0	0	0	4
MIR199B	MIR199B	NR_029619.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MIR219A2	MIR219A2	NR_029837.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MIR219B	MIR219B	NR_039815.1		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
MIR2861	MIR2861	NR_036055.1		0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
MIR3154	MIR3154	NR_036110.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MIR3689A	MIR3689A	NR_037460.1		0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3
MIR3689B	MIR3689B	NR_037469.1		0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3
MIR3689C	MIR3689C	NR_039691.1		0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3
MIR3689D1	MIR3689D1	NR_039693.1		0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3
MIR3689D2	MIR3689D2	NR_039694.1		0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3
MIR3689E	MIR3689E	NR_039695.1		0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3
MIR3689F	MIR3689F	NR_039696.1		0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3
MIR3911	MIR3911	NR_037473.1		0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
MIR3960	MIR3960	NR_039767.1		0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
MIR4669	MIR4669	NR_039816.1		0	0	0	5	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3
MIR4672	MIR4672	NR_039819.1		0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
MIR6855	MIR6855	NR_106914.1		0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
MIR6856	MIR6856	NR_106915.1		0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2
MIR6877	MIR6877	NR_106937.1		0	0	0	5	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2
MVB12B	MVB12B	NM_001011703.3	protein_coding	0	0	1	50	0	0	0	2	0	44	1	0	0	0	0	0	0	0	4
MVB12B	MVB12B	NM_033446.3	protein_coding	0	0	1	80	0	0	0	2	0	74	1	0	0	0	0	0	0	0	4
MYMK	MYMK	NM_001080483.3	protein_coding	0	0	0	5	0	0	0	1	0	3	0	0	0	0	0	0	0	0	1
NCS1	NCS1	NM_001128826.2	protein_coding	1	0	0	13	2	0	0	0	0	10	0	0	1	0	0	0	0	0	2
NCS1	NCS1	NM_014286.4	protein_coding	1	0	0	16	2	0	0	0	0	15	0	0	1	0	0	0	0	0	0
NIBAN2	NIBAN2	NM_001035534.3	protein_coding	0	0	0	11	2	0	0	2	0	7	0	0	0	0	0	0	0	0	0
NIBAN2	NIBAN2	NM_022833.4	protein_coding	0	0	0	11	2	0	0	2	0	7	0	0	0	0	0	0	0	0	0
NRON	NRON	NR_045006.1		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
NTMT1	NTMT1	NM_001286796.1	protein_coding	0	1	0	13	3	0	0	1	0	7	0	0	0	0	0	0	0	1	2
NTMT1	NTMT1	NM_001286797.1	protein_coding	0	1	0	8	3	0	0	1	0	4	0	0	0	0	0	0	0	1	0
NTMT1	NTMT1	NM_001286798.1	protein_coding	0	1	0	8	3	0	0	1	0	3	0	0	0	0	0	0	0	1	1
NTMT1	NTMT1	NM_001286799.1	protein_coding	0	1	0	8	3	0	0	1	0	3	0	0	0	0	0	0	0	1	1
NTMT1	NTMT1	NM_001286800.1	protein_coding	0	1	0	8	3	0	0	1	0	3	0	0	0	0	0	0	0	1	1
NTMT1	NTMT1	NM_001286801.1	protein_coding	0	1	0	8	3	0	0	1	0	3	0	0	0	0	0	0	0	1	1
NTMT1	NTMT1	NM_001286802.1	protein_coding	0	1	0	8	3	0	0	1	0	3	0	0	0	0	0	0	0	1	1
NTMT1	NTMT1	NM_001286803.1	protein_coding	0	1	0	8	3	0	0	1	0	3	0	0	0	0	0	0	0	1	1
NTMT1	NTMT1	NM_014064.3	protein_coding	0	1	0	8	3	0	0	1	0	3	0	0	0	0	0	0	0	1	1
NTMT1	NTMT1	NR_104596.1		0	0	0	9	0	0	0	1	0	3	0	4	0	0	0	0	0	0	1
NTNG2	NTNG2	NM_032536.4	protein_coding	0	0	0	37	0	0	0	4	0	33	0	0	0	0	0	0	0	0	0
NUP188	NUP188	NM_015354.3	protein_coding	0	1	0	13	0	0	0	1	0	11	0	0	0	0	1	0	0	0	2
NUP214	NUP214	NM_001318324.2	protein_coding	0	2	1	35	0	0	0	1	0	33	1	0	0	0	1	0	0	1	2
NUP214	NUP214	NM_001318325.2	protein_coding	0	0	0	20	0	0	0	1	0	13	0	0	0	0	0	0	0	0	6
NUP214	NUP214	NM_005085.4	protein_coding	0	2	1	35	0	0	0	1	0	33	1	0	0	0	1	0	0	1	2
OBP2B	OBP2B	NM_001288987.1	protein_coding	0	0	1	10	1	0	0	9	0	0	1	0	0	0	0	0	0	0	0
OBP2B	OBP2B	NM_014581.3	protein_coding	0	0	1	10	0	0	0	9	0	1	1	0	0	0	0	0	0	0	0
OBP2B	OBP2B	NR_110242.1		0	0	0	11	0	0	0	9	0	1	0	1	0	0	0	0	0	0	0
OBP2B	OBP2B	NR_110243.1		0	0	0	11	0	0	0	9	0	1	0	1	0	0	0	0	0	0	0
ODF2	ODF2	NM_001242352.1	protein_coding	0	1	2	10	0	0	0	1	0	9	2	0	0	0	1	0	0	0	1
ODF2	ODF2	NM_001242353.2	protein_coding	0	1	2	10	0	0	0	1	0	9	2	0	0	0	1	0	0	0	1
ODF2	ODF2	NM_001242354.1	protein_coding	0	0	1	11	0	0	0	5	0	5	1	0	0	0	0	0	0	0	1
ODF2	ODF2	NM_001351577.1	protein_coding	0	1	2	10	0	0	0	1	0	9	2	0	0	0	1	0	0	0	1
ODF2	ODF2	NM_001351578.1	protein_coding	0	1	2	10	0	0	0	1	0	9	2	0	0	0	1	0	0	0	1
ODF2	ODF2	NM_001351579.2	protein_coding	0	1	2	10	0	0	0	1	0	9	2	0	0	0	1	0	0	0	1
ODF2	ODF2	NM_001351580.2	protein_coding	0	1	2	10	0	0	0	1	0	9	2	0	0	0	1	0	0	0	1
ODF2	ODF2	NM_001351581.1	protein_coding	0	1	2	10	0	0	0	1	0	9	2	0	0	0	1	0	0	0	1
ODF2	ODF2	NM_001351582.2	protein_coding	0	1	2	10	0	0	0	1	0	9	2	0	0	0	1	0	0	0	1
ODF2	ODF2	NM_001351583.2	protein_coding	0	1	2	10	0	0	0	1	0	9	2	0	0	0	1	0	0	0	1
ODF2	ODF2	NM_001351584.2	protein_coding	0	1	2	10	0	0	0	1	0	9	2	0	0	0	1	0	0	0	1
ODF2	ODF2	NM_001351585.2	protein_coding	0	1	2	10	0	0	0	1	0	9	2	0	0	0	1	0	0	0	1
ODF2	ODF2	NM_001351586.2	protein_coding	0	1	2	10	0	0	0	1	0	9	2	0	0	0	1	0	0	0	1
ODF2	ODF2	NM_001351587.2	protein_coding	0	1	2	10	0	0	0	1	0	9	2	0	0	0	1	0	0	0	1
ODF2	ODF2	NM_001351588.2	protein_coding	0	1	2	10	0	0	0	1	0	9	2	0	0	0	1	0	0	0	1
ODF2	ODF2	NM_002540.5	protein_coding	0	1	2	10	0	0	0	1	0	9	2	0	0	0	1	0	0	0	1
ODF2	ODF2	NM_153432.1	protein_coding	0	0	1	11	0	0	0	5	0	5	1	0	0	0	0	0	0	0	1
ODF2	ODF2	NM_153433.2	protein_coding	0	1	2	10	0	0	0	1	0	9	2	0	0	0	1	0	0	0	1
ODF2	ODF2	NM_153435.1	protein_coding	0	1	2	10	0	0	0	1	0	9	2	0	0	0	1	0	0	0	1
ODF2	ODF2	NM_153436.1	protein_coding	0	0	1	11	0	0	0	5	0	5	1	0	0	0	0	0	0	0	1
ODF2	ODF2	NM_153437.2	protein_coding	0	0	1	11	0	0	0	5	0	5	1	0	0	0	0	0	0	0	1
ODF2	ODF2	NM_153439.1	protein_coding	0	0	1	11	0	0	0	5	0	5	1	0	0	0	0	0	0	0	1
ODF2	ODF2	NM_153440.1	protein_coding	0	0	1	11	0	0	0	5	0	5	1	0	0	0	0	0	0	0	1
OLFM1	OLFM1	NM_001282611.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OLFM1	OLFM1	NM_001282612.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OLFM1	OLFM1	NM_014279.5	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OLFML2A	OLFML2A	NM_001282715.1	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
OLFML2A	OLFML2A	NM_182487.4	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
PBX3	PBX3	NM_001134778.2	protein_coding	0	0	0	74	2	0	1	2	0	69	0	0	0	0	0	0	0	0	0
PBX3	PBX3	NM_001330782.2	protein_coding	0	0	0	74	2	0	0	2	0	70	0	0	0	0	0	0	0	0	0
PBX3	PBX3	NM_006195.6	protein_coding	0	0	0	74	2	0	0	2	0	70	0	0	0	0	0	0	0	0	0
PBX3	PBX3	NR_024122.2		0	0	0	74	0	0	0	2	0	70	0	2	0	0	0	0	0	0	0
PBX3	PBX3	NR_024123.2		0	0	0	74	0	0	0	2	0	70	0	2	0	0	0	0	0	0	0
PHYHD1	PHYHD1	NM_001100876.2	protein_coding	0	0	0	4	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1
PHYHD1	PHYHD1	NM_001100877.1	protein_coding	0	0	0	4	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1
PHYHD1	PHYHD1	NM_174933.4	protein_coding	0	0	0	4	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1
PKN3	PKN3	NM_001317926.2	protein_coding	0	1	0	21	0	0	0	7	0	13	0	0	0	0	0	0	0	1	1
PKN3	PKN3	NM_013355.5	protein_coding	0	1	0	21	0	0	0	7	0	13	0	0	0	0	0	0	0	1	1
PLPP7	PLPP7	NM_032728.4	protein_coding	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1
POMT1	POMT1	NM_001077365.2	protein_coding	0	1	0	11	0	0	0	0	0	7	0	0	0	0	0	1	0	0	4
POMT1	POMT1	NM_001077366.2	protein_coding	0	0	0	12	0	0	0	0	0	8	0	0	0	0	0	0	0	0	4
POMT1	POMT1	NM_001136113.1	protein_coding	0	1	0	11	0	0	0	0	0	7	0	0	0	0	0	1	0	0	4
POMT1	POMT1	NM_001136114.1	protein_coding	0	0	0	12	0	0	0	0	0	8	0	0	0	0	0	0	0	0	4
POMT1	POMT1	NM_001353193.2	protein_coding	0	1	0	11	0	0	0	0	0	7	0	0	0	0	0	1	0	0	4
POMT1	POMT1	NM_001353194.2	protein_coding	0	0	0	12	0	0	0	0	0	8	0	0	0	0	0	0	0	0	4
POMT1	POMT1	NM_001353195.2	protein_coding	0	1	0	12	0	1	1	0	0	7	0	0	0	0	0	0	0	0	4
POMT1	POMT1	NM_001353196.2	protein_coding	0	1	0	11	0	0	0	0	0	7	0	0	0	0	0	1	0	0	4
POMT1	POMT1	NM_001353197.2	protein_coding	0	0	0	12	0	0	0	0	0	8	0	0	0	0	0	0	0	0	4
POMT1	POMT1	NM_001353198.2	protein_coding	0	1	0	12	0	1	1	0	0	7	0	0	0	0	0	0	0	0	4
POMT1	POMT1	NM_001353199.2	protein_coding	0	0	0	12	0	0	0	0	0	8	0	0	0	0	0	0	0	0	4
POMT1	POMT1	NM_001353200.2	protein_coding	0	0	0	12	0	0	0	0	0	8	0	0	0	0	0	0	0	0	4
POMT1	POMT1	NM_007171.3	protein_coding	0	1	0	11	0	0	0	0	0	7	0	0	0	0	0	1	0	0	4
POMT1	POMT1	NR_148391.2		0	0	0	12	0	0	0	0	0	8	0	0	0	0	0	0	0	0	4
POMT1	POMT1	NR_148392.2		0	0	0	12	0	0	0	0	0	7	0	1	0	0	0	0	0	0	4
POMT1	POMT1	NR_148393.2		0	0	0	12	0	0	0	0	0	5	0	3	0	0	0	0	0	0	4
POMT1	POMT1	NR_148394.2		0	0	0	12	0	0	0	0	0	8	0	0	0	0	0	0	0	0	4
POMT1	POMT1	NR_148395.2		0	0	0	12	0	0	0	0	0	4	0	4	0	0	0	0	0	0	4
POMT1	POMT1	NR_148396.2		0	0	0	12	0	0	0	0	0	5	0	3	0	0	0	0	0	0	4
POMT1	POMT1	NR_148397.2		0	0	0	12	0	0	0	0	0	7	0	1	0	0	0	0	0	0	4
POMT1	POMT1	NR_148398.2		0	0	0	12	0	0	0	0	0	8	0	0	0	0	0	0	0	0	4
POMT1	POMT1	NR_148399.2		0	0	0	12	0	0	0	0	0	4	0	4	0	0	0	0	0	0	4
POMT1	POMT1	NR_148400.2		0	0	0	12	0	0	0	0	0	5	0	3	0	0	0	0	0	0	4
PPP6C	PPP6C	NM_001123355.1	protein_coding	1	0	0	25	3	0	0	4	1	16	0	0	0	0	0	0	0	0	2
PPP6C	PPP6C	NM_001123369.1	protein_coding	1	0	0	25	3	0	0	4	1	16	0	0	0	0	0	0	0	0	2
PPP6C	PPP6C	NM_002721.5	protein_coding	1	0	0	25	3	0	0	4	1	16	0	0	0	0	0	0	0	0	2
PRDM12	PRDM12	NM_021619.3	protein_coding	0	1	2	46	1	0	0	2	0	39	2	0	0	0	0	0	0	1	4
PRRC2B	PRRC2B	NM_013318.3	protein_coding	0	0	1	27	2	0	0	5	0	19	1	0	0	0	0	0	0	0	1
PRRT1B	PRRT1B	NM_001365666.1	protein_coding	0	0	0	13	0	0	0	2	0	6	0	0	0	0	0	0	0	0	5
PRRX2	PRRX2	NM_016307.4	protein_coding	0	0	0	11	0	0	0	1	0	10	0	0	0	0	0	0	0	0	0
PRRX2-AS1	PRRX2-AS1	NR_132102.1		0	0	0	4	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1
PTGES	PTGES	NM_004878.5	protein_coding	0	0	0	6	0	0	0	3	0	2	0	0	0	0	0	0	0	0	1
PTGES2	PTGES2	NM_001256335.1	protein_coding	0	0	1	8	0	0	0	4	0	2	1	0	0	0	1	0	0	0	2
PTGES2	PTGES2	NM_025072.7	protein_coding	0	0	1	8	0	0	0	4	0	2	1	0	0	0	1	0	0	0	2
PTGES2	PTGES2	NM_198938.2	protein_coding	0	0	1	8	0	0	0	4	0	3	1	0	0	0	1	0	0	0	1
PTGES2-AS1	PTGES2-AS1	NR_024425.1		0	0	0	5	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2
PTPA	PTPA	NM_001193397.1	protein_coding	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
PTPA	PTPA	NM_001271832.1	protein_coding	0	0	0	5	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2
PTPA	PTPA	NM_021131.5	protein_coding	0	0	0	5	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2
PTPA	PTPA	NM_178000.3	protein_coding	0	0	0	5	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2
PTPA	PTPA	NM_178001.2	protein_coding	0	0	0	5	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2
PTPA	PTPA	NM_178003.3	protein_coding	0	0	0	5	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2
PTRH1	PTRH1	NM_001002913.3	protein_coding	0	0	0	6	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3
PTRH1	PTRH1	NM_001345977.1	protein_coding	0	0	0	7	0	0	0	4	0	0	0	0	0	0	0	0	0	0	3
PTRH1	PTRH1	NM_001345978.1	protein_coding	0	0	0	7	0	0	0	4	0	0	0	0	0	0	0	0	0	0	3
PTRH1	PTRH1	NM_001345979.1	protein_coding	0	0	0	7	0	0	0	4	0	0	0	0	0	0	0	0	0	0	3
PTRH1	PTRH1	NM_001345980.1	protein_coding	0	0	0	7	0	0	0	4	0	0	0	0	0	0	0	0	0	0	3
QRFP	QRFP	NM_198180.3	protein_coding	0	0	0	9	0	0	2	2	0	1	0	0	0	0	0	0	0	0	4
RABEPK	RABEPK	NM_001174152.1	protein_coding	0	0	0	14	0	0	0	1	0	12	0	0	0	0	0	0	0	0	1
RABEPK	RABEPK	NM_001174153.1	protein_coding	0	0	0	14	0	0	0	1	0	12	0	0	0	0	0	0	0	0	1
RABEPK	RABEPK	NM_005833.4	protein_coding	0	0	0	14	0	0	0	1	0	12	0	0	0	0	0	0	0	0	1
RALGDS	RALGDS	NM_001042368.3	protein_coding	0	0	1	35	0	0	0	1	0	33	1	0	0	0	1	0	0	0	1
RALGDS	RALGDS	NM_001271774.2	protein_coding	0	0	1	24	0	0	0	1	0	22	1	0	0	0	1	0	0	0	1
RALGDS	RALGDS	NM_001271775.2	protein_coding	0	0	1	24	0	0	1	1	0	20	1	0	0	0	1	0	0	0	2
RALGDS	RALGDS	NM_001271776.2	protein_coding	0	0	1	15	0	0	0	1	0	8	1	0	0	0	1	0	0	0	6
RALGDS	RALGDS	NM_006266.4	protein_coding	0	0	1	15	0	0	0	1	0	8	1	0	0	0	1	0	0	0	6
RALGPS1	RALGPS1	NM_001190728.1	protein_coding	0	0	0	75	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0
RALGPS1	RALGPS1	NM_001190729.1	protein_coding	0	0	0	87	0	0	0	0	0	86	0	0	0	0	0	0	0	0	1
RALGPS1	RALGPS1	NM_001190730.2	protein_coding	0	0	0	84	0	0	0	1	0	82	0	0	0	0	0	0	0	0	1
RALGPS1	RALGPS1	NM_001322320.2	protein_coding	0	0	0	87	0	0	0	0	0	86	0	0	0	0	0	0	0	0	1
RALGPS1	RALGPS1	NM_001322321.2	protein_coding	0	0	0	88	0	0	0	1	0	86	0	0	0	0	0	0	0	0	1
RALGPS1	RALGPS1	NM_001322322.2	protein_coding	0	0	0	88	0	0	0	1	0	86	0	0	0	0	0	0	0	0	1
RALGPS1	RALGPS1	NM_001322323.2	protein_coding	0	0	0	87	0	0	0	0	0	86	0	0	0	0	0	0	0	0	1
RALGPS1	RALGPS1	NM_001322324.2	protein_coding	0	0	0	88	0	0	0	1	0	86	0	0	0	0	0	0	0	0	1
RALGPS1	RALGPS1	NM_001322325.2	protein_coding	0	0	0	87	0	0	0	0	0	86	0	0	0	0	0	0	0	0	1
RALGPS1	RALGPS1	NM_001366399.1	protein_coding	0	0	0	14	0	0	0	1	0	12	0	0	0	0	0	0	0	0	1
RALGPS1	RALGPS1	NM_001366400.1	protein_coding	0	0	0	87	0	0	0	1	0	86	0	0	0	0	0	0	0	0	0
RALGPS1	RALGPS1	NM_001366401.1	protein_coding	0	0	0	76	0	0	0	1	0	75	0	0	0	0	0	0	0	0	0
RALGPS1	RALGPS1	NM_014636.3	protein_coding	0	0	0	88	0	0	0	1	0	86	0	0	0	0	0	0	0	0	1
RAPGEF1	RAPGEF1	NM_001304275.1	protein_coding	0	0	0	48	0	0	0	2	0	46	0	0	0	0	0	0	0	0	0
RAPGEF1	RAPGEF1	NM_005312.3	protein_coding	0	0	0	48	0	0	0	2	0	46	0	0	0	0	0	0	0	0	0
RAPGEF1	RAPGEF1	NM_198679.1	protein_coding	0	0	0	48	0	0	0	2	0	45	0	0	0	0	0	0	0	0	1
RNU6ATAC	RNU6ATAC	NR_023344.1		0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
RPL12	RPL12	NM_000976.4	protein_coding	0	0	0	14	0	0	0	3	0	6	0	0	0	0	0	0	0	0	5
RPL7A	RPL7A	NM_000972.3	protein_coding	0	0	2	5	0	0	0	3	0	1	2	0	0	0	0	0	0	0	1
RXRA	RXRA	NM_001291920.1	protein_coding	0	0	1	12	0	0	0	2	0	7	1	0	0	0	0	0	0	0	3
RXRA	RXRA	NM_001291921.2	protein_coding	0	0	0	7	0	0	1	2	0	3	0	0	0	0	0	0	0	0	1
RXRA	RXRA	NM_002957.6	protein_coding	0	0	1	46	0	0	0	2	0	38	1	0	0	0	0	0	0	0	6
SARDH	SARDH	NM_001134707.2	protein_coding	0	1	0	37	0	0	0	1	0	30	0	0	0	0	0	0	0	1	6
SARDH	SARDH	NM_007101.4	protein_coding	0	1	0	37	0	0	0	1	0	30	0	0	0	0	0	0	0	1	6
SCAI	SCAI	NM_001144877.3	protein_coding	0	0	0	61	0	0	0	0	0	55	0	0	0	0	0	0	0	0	6
SCAI	SCAI	NM_173690.5	protein_coding	0	0	0	61	0	0	0	0	0	55	0	0	0	0	0	0	0	0	6
SET	SET	NM_001122821.2	protein_coding	0	0	1	6	2	0	0	1	0	1	1	0	0	0	0	0	0	0	2
SET	SET	NM_001248000.2	protein_coding	0	0	1	6	2	0	0	1	0	1	1	0	0	0	0	0	0	0	2
SET	SET	NM_001248001.2	protein_coding	0	0	1	4	2	0	0	1	0	0	1	0	0	0	0	0	0	0	1
SET	SET	NM_001374326.1	protein_coding	0	0	1	6	2	0	0	1	0	1	1	0	0	0	0	0	0	0	2
SET	SET	NM_003011.4	protein_coding	0	0	1	4	2	0	0	1	0	0	1	0	0	0	0	0	0	0	1
SETX	SETX	NM_001351527.1	protein_coding	1	0	1	20	1	0	0	2	1	17	1	0	0	0	0	0	0	0	0
SETX	SETX	NM_001351528.2	protein_coding	1	0	2	19	1	0	0	2	1	16	2	0	0	0	0	0	0	0	0
SETX	SETX	NM_015046.7	protein_coding	1	0	1	20	1	0	0	2	1	17	1	0	0	0	0	0	0	0	0
SH2D3C	SH2D3C	NM_001142531.1	protein_coding	0	0	0	19	0	0	0	1	0	17	0	0	0	0	0	0	0	0	1
SH2D3C	SH2D3C	NM_001142532.1	protein_coding	0	0	0	19	0	0	0	1	0	17	0	0	0	0	0	0	0	0	1
SH2D3C	SH2D3C	NM_001142533.1	protein_coding	0	0	0	16	0	0	0	1	0	6	0	0	0	0	0	0	0	0	9
SH2D3C	SH2D3C	NM_001142534.1	protein_coding	0	0	0	16	0	0	0	1	0	6	0	0	0	0	0	0	0	0	9
SH2D3C	SH2D3C	NM_001252334.1	protein_coding	0	0	0	21	0	0	0	1	0	19	0	0	0	0	0	0	0	0	1
SH2D3C	SH2D3C	NM_005489.4	protein_coding	0	0	0	21	0	0	0	1	0	19	0	0	0	0	0	0	0	0	1
SH2D3C	SH2D3C	NM_170600.3	protein_coding	0	0	0	21	0	0	0	1	0	20	0	0	0	0	0	0	0	0	0
SH3GLB2	SH3GLB2	NM_001287045.1	protein_coding	0	0	0	7	0	0	0	2	0	5	0	0	0	0	0	0	0	0	0
SH3GLB2	SH3GLB2	NM_001287046.1	protein_coding	0	0	0	7	0	0	0	2	0	5	0	0	0	0	0	0	0	0	0
SH3GLB2	SH3GLB2	NM_001369913.1	protein_coding	0	0	0	7	0	0	0	2	0	5	0	0	0	0	0	0	0	0	0
SH3GLB2	SH3GLB2	NM_001369914.1	protein_coding	0	0	0	7	0	0	0	2	0	5	0	0	0	0	0	0	0	0	0
SH3GLB2	SH3GLB2	NM_001369915.1	protein_coding	0	0	0	7	0	0	0	2	0	5	0	0	0	0	0	0	0	0	0
SH3GLB2	SH3GLB2	NM_020145.3	protein_coding	0	0	0	7	0	0	0	2	0	5	0	0	0	0	0	0	0	0	0
SH3GLB2	SH3GLB2	NR_163192.1		0	0	0	7	0	0	0	2	0	5	0	0	0	0	0	0	0	0	0
SLC25A25	SLC25A25	NM_001006641.3	protein_coding	0	0	0	4	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0
SLC25A25	SLC25A25	NM_001006642.3	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
SLC25A25	SLC25A25	NM_001265614.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
SLC25A25	SLC25A25	NM_001330988.1	protein_coding	0	0	0	4	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0
SLC25A25	SLC25A25	NM_052901.4	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
SLC25A25	SLC25A25	NR_049766.2		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
SLC25A25-AS1	SLC25A25-AS1	NR_033374.1		0	0	0	7	0	0	0	0	0	4	0	1	0	0	0	0	0	0	2
SLC27A4	SLC27A4	NM_005094.4	protein_coding	0	0	0	10	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0
SLC2A6	SLC2A6	NM_001145099.2	protein_coding	0	0	0	7	0	0	0	6	0	1	0	0	0	0	0	0	0	0	0
SLC2A6	SLC2A6	NM_017585.4	protein_coding	0	0	0	7	0	0	0	6	0	1	0	0	0	0	0	0	0	0	0
SLC2A8	SLC2A8	NM_001271711.1	protein_coding	0	0	0	8	0	0	0	1	0	4	0	0	0	0	0	0	0	0	3
SLC2A8	SLC2A8	NM_001271712.1	protein_coding	0	0	0	8	0	0	0	1	0	4	0	0	0	0	0	0	0	0	3
SLC2A8	SLC2A8	NM_014580.5	protein_coding	0	0	0	8	0	0	0	1	0	4	0	0	0	0	0	0	0	0	3
SLC2A8	SLC2A8	NR_073416.1		0	0	0	8	0	0	0	1	0	4	0	0	0	0	0	0	0	0	3
SNORA65	SNORA65	NR_002449.2		0	0	0	11	0	0	0	3	0	0	0	0	0	0	0	0	0	0	8
SNORD24	SNORD24	NR_002447.1		0	0	0	6	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2
